Chloride,Nitrate,Sulfate,Sodium,Potassium,Magnesium,Calcium,Site,,
6.726114721,0.777611028,15.14671918,8.547194098,2.63354278,4.939489236,16.63717642,BS11,,
2.923576047,0.063771501,4.136418684,4.144352338,2.224611927,6.265274159,9.480953298,BS12,,
5.263925548,0.716745412,5.777055084,5.941884406,2.370370806,2.005094514,5.723199551,BS13,,
3.783188143,0.556764152,4.609407775,3.596940727,1.866696551,1.634704498,5.446051686,BS14,,
4.449276191,0.591821861,5.869555112,4.840052178,2.39035367,2.035557037,6.023207298,BS15,,
3.187618665,0.223896118,0.186139717,4.090429416,1.976509144,7.307719492,9.6510062,BS16,,
5.576173396,0.543113549,5.065234142,5.540173878,2.707513742,2.968040866,7.082301197,BS17,,
14.75508321,1.472818491,10.0403533,14.46724932,4.431069709,5.050791176,8.170923401,BS18,,
6.333995084,0.623000157,3.325096132,5.908966493,2.634569946,3.166021595,9.429862714,BS01,,
7.360951802,0.312805769,7.874413832,7.751549471,2.444362504,5.016557763,12.43858191,BS02,,
6.830334223,0.633789052,3.373504661,6.327124115,2.697021039,3.134003046,9.470272981,BS03,,
6.656386299,0.606269162,4.086224603,6.397115455,2.771157213,3.357620625,10.16058174,BS04,,
6.689544138,0.699547728,1.073889338,5.984284795,2.335755134,2.403918955,6.182015662,BS05,,
5.434910677,0.626691869,5.729559026,5.635101989,2.567653821,2.527332548,7.570968538,BS06,,
2.475053059,0.25437471,2.353546972,6.198321054,1.845982075,3.439486876,8.164518808,BS07,,
1.390943772,0.094093787,2.205535092,5.500326931,1.611010579,2.043773167,5.012891332,BS08,,
6.610979581,0.923000889,1.12175775,6.528141454,2.081664026,2.479979756,6.770350638,BS09,,
5.348932663,0.738503122,1.637906371,5.007991759,2.446816757,2.611204441,6.876382694,BS10,,
7.167417303,0.857416429,7.525558517,8.948566896,2.28388027,4.838981971,11.16207258,BS11,,
3.117512789,0.169600315,0.052504441,3.912194699,1.933444756,5.739167751,8.911822249,BS12,,
1.480780116,0.068123467,1.809876196,0.404498085,0.042408654,0.306426446,0.9113468,BS13,,
4.24846875,0.60652704,4.815942322,4.474761098,2.127101749,1.991679516,6.526438784,BS14,,
1.861141248,0.236335217,2.883591116,1.644474259,1.570074073,0.733453482,3.157781031,BS15,,
1.896684811,0.202235436,1.945041663,4.308087046,1.753618729,7.285166582,11.2881691,BS16,,
8.018383041,0.669165958,6.512679683,7.745564551,2.860567574,4.365805217,11.5362053,BS17,,
11.29399926,1.404699378,9.960105886,11.22475892,4.055201035,4.05328868,12.90113372,BS18,,
8.659964181,0.878594899,14.08214403,8.749062083,4.791259157,3.939300823,8.569271514,BS01,,
8.306946865,0.321033164,10.85918976,9.642426012,3.362803448,5.964364325,11.75389006,BS02,,
4.955885133,0.509752344,9.138772396,5.042049684,2.894960752,2.55250792,8.998745042,BS03,,
5.205008541,0.508074849,10.45191317,5.344645669,3.029367329,2.842555411,10.14322878,BS04,,
5.072566522,0.594052726,5.970070384,4.995481025,2.721886772,1.883953415,6.094262507,BS05,,
4.985805359,0.617149101,6.649465774,5.307494277,2.652245419,2.052252078,6.287377411,BS06,,
6.262344237,0.222972779,3.755040352,6.060023814,1.996848641,3.387967982,7.356371812,BS07,,
6.267614871,0.897453372,3.769190667,5.399541272,1.717481065,2.086651872,4.769900182,BS08,,
5.845583197,0.718022468,5.497133391,6.073840282,2.255300158,2.178742385,6.843083391,BS09,,
5.996651253,0.786928768,6.818328725,5.872435811,2.484361213,2.931317246,8.316916549,BS10,,
7.209058286,0.823517962,14.66590213,8.963536554,2.58457982,4.995503117,12.21761487,BS11,,
2.947867598,0.130038364,4.353380754,4.397601187,1.975492802,6.384514652,8.550471642,BS12,,
5.71115646,0.715155725,6.135648574,6.274710565,2.72350995,2.268344219,6.6096214,BS13,,
